ocid,compiledRelease/id,compiledRelease/tag,compiledRelease/date,compiledRelease/ocid,compiledRelease/publishedDate,compiledRelease/initiationType,compiledRelease/buyer/id,compiledRelease/buyer/name,compiledRelease/planning/budget/description,compiledRelease/tender/id,compiledRelease/tender/title,compiledRelease/tender/description,compiledRelease/tender/procuringEntity/id,compiledRelease/tender/procuringEntity/name,compiledRelease/tender/datePublished,compiledRelease/tender/procurementMethod,compiledRelease/tender/procurementMethodDetails,compiledRelease/tender/mainProcurementCategory,compiledRelease/tender/additionalProcurementCategories,compiledRelease/tender/value/amount,compiledRelease/tender/value/currency,compiledRelease/tender/value/currencyName,compiledRelease/tender/value/amount_PEN,compiledRelease/tender/tenderPeriod/startDate,compiledRelease/tender/tenderPeriod/endDate,compiledRelease/tender/numberOfTenderers,compiledRelease/tender/hasTenderInformationProtectedByLaw,compiledRelease/dataSegmentation/id,compiledRelease/dataSegmentation/criteria,compiledRelease/planning/budget/amount/amount,compiledRelease/planning/budget/amount/currency,compiledRelease/planning/budget/amount/currencyName,compiledRelease/tender/enquiryPeriod/startDate,compiledRelease/tender/enquiryPeriod/endDate,compiledRelease/tender/enquiryPeriod/durationInDays,compiledRelease/planning/budget/project,compiledRelease/planning/budget/projectID
ocds-dgv273-seacev3-1240225,ocds-dgv273-seacev3-1240225-2026-09-10T10:19:40.450247-05:00,compiled,2026-09-10T10:19:40.450234-05:00,ocds-dgv273-seacev3-1240225,2026-09-10T10:19:40.450252-05:00,tender,PE-CONSUCODE-10449,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,Fondos Públicos,1240225,SIE-SIE-11-2026-GRTC-2,"CONTRATACIONDE CARBURANTE PARA LA META: 0005 PARA EL PROYECTO MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA CARRETERA PAUCARTAMBO - ABRA ACJANACU, EN LOS TRAMOS: PAUCARTAMBO (DESVIO CU-113) - LLAYCHU - KAPACHI (EMP CU - 989), KAPACHI (EMP CU-989) - SUNCHUBAMBA - JAJAHUANA - CHALLABAMBA - DESVIO",PE-CONSUCODE-10449,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,2026-08-11T12:58:00-05:00,open,Subasta Inversa Electrónica,goods,goods,736000.0,PEN,Soles,736000.0,2026-08-11T00:00:00-05:00,2026-08-11T00:00:00-05:00,5,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR DE LA CARRETERA  PAUCARTAMBO ¿ ABRA ACJANACU, EN LOS TRAMOS: PAUCARTAMBO (DESVIO CU 113) ¿ LLAYCHU ¿ KAPACHI (EMP CU ¿ 989), KAPACHI (EMP CU ¿ 989) ¿ SUNCHUBAMBA ¿ JAJAHUANA ¿ CHALLABAMBA- DESVIO CU990, EMP. CU-989 (CHALLABAMBA) ¿ EMP CU- 113 (ABRA ACJANACU), EN LOS DISTRITOS DE PAUCARTAMBO Y CHALLABAMBA DE LA  PROVINCIA DE PAUCARTAMBO - DEPARTAMENTO DE CUSCO",2473003
ocds-dgv273-seacev3-1242345,ocds-dgv273-seacev3-1242345-2026-09-10T10:19:35.137060-05:00,compiled,2026-09-10T10:19:35.137047-05:00,ocds-dgv273-seacev3-1242345,2026-09-10T10:19:35.137066-05:00,tender,PE-CONSUCODE-2433,PETROLEOS DEL PERU S.A.,Fondos Públicos,1242345,SEL-PROC-13-2026-OFP / PETROPERU-1,"SERVICIO DE MANTENIMIENTO PREVENTIVO BIENAL DE EQUIPOS MECÁNICOS, ELÉCTRICOS E INSTRUMENTACIÓN DE LOS TERMINALES Y PLANTAS DEL SUR",PE-CONSUCODE-2433,PETROLEOS DEL PERU S.A.,2026-08-18T22:46:00-05:00,open,Adjudicación Selectiva,services,services,0.0,PEN,Soles,0.0,2026-08-18T00:00:00-05:00,2026-08-18T00:00:00-05:00,1,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,,
ocds-dgv273-seacev3-1241467,ocds-dgv273-seacev3-1241467-2026-09-10T10:19:34.884845-05:00,compiled,2026-09-10T10:19:34.884833-05:00,ocds-dgv273-seacev3-1241467,2026-09-10T10:19:34.884851-05:00,tender,PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,Fondos Públicos,1241467,LP-ABR-219-2026-MDSM/CS-1,"ADQUISICIÓN DE MUEBLES Y ENSERES  PARA EL PLAN DE NEGOCIO DENOMINADO: ¿MEJORAMIENTO DE LA CALIDAD Y SERVICIO GASTRONOMICO DE LA EMPRESA TINGO CJ S.A.C. EN EL DISTRITO DE SAN MARCOS, PROVINCIA DE HUARI, REGION ANCASH¿, CON CU N° 2720428.",PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,2026-08-14T14:59:00-05:00,,Licitación Pública Abreviada,goods,goods,127768.0,PEN,Soles,127768.0,2026-08-14T00:00:00-05:00,2026-08-14T00:00:00-05:00,7,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-15T00:01:00-05:00,2026-08-19T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1241065,ocds-dgv273-seacev3-1241065-2026-09-10T10:19:34.776644-05:00,compiled,2026-09-10T10:19:34.776632-05:00,ocds-dgv273-seacev3-1241065,2026-09-10T10:19:34.776649-05:00,tender,PE-CONSUCODE-10434,DIRECCION REGIONAL AGRARIA CAJAMARCA,Fondos Públicos,1241065,COMPRE-COMPRE-3-2026-GR.CAJ/DRAC-DEC-2,"ADQUISICION DE HERRAMIENTAS MANUALES, PARA LA EJECUCIÓN DEL PROYECTO DE INVERSIÓN DENOMINADO: 'RECUPERACIÓN DE LOS SERVICIOS ECOSISTÉMICOS EN 26 UNIDADES PRODUCTORAS 15 CENTROS POBLADOS 6 DISTRITOS DE LA PROVINCIA DE SAN MARCOS DEL DEPARTAMENTO DE CAJAMARCA"", CUI N° 2617866.",PE-CONSUCODE-10434,DIRECCION REGIONAL AGRARIA CAJAMARCA,2026-08-13T12:14:00-05:00,open,Comparación de Precios,goods,goods,90500.4,PEN,Soles,90500.4,2026-08-13T00:00:00-05:00,2026-08-13T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,90500.4,PEN,Soles,,,,RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS  EN 26 UNIDADES PRODUCTORAS  15 CENTROS POBLADOS 6 DISTRITOS  DE LA PROVINCIA DE SAN MARCOS DEL DEPARTAMENTO DE CAJAMARCA,2617866
ocds-dgv273-seacev3-1238527,ocds-dgv273-seacev3-1238527-2026-09-10T10:19:34.383509-05:00,compiled,2026-09-10T10:19:34.383496-05:00,ocds-dgv273-seacev3-1238527,2026-09-10T10:19:34.383514-05:00,tender,PE-CONSUCODE-1175,MUNICIPALIDAD DISTRITAL DE MARCAPOMACOCHA,Fondos Públicos,1238527,LP-ABR-5-2026-CS/MDM-1,"Contratación del servicio de ejecución de obra del proyecto ¿RENOVACION DE PUENTE; EN EL(LA) VIA VECINAL JU-513 PUENTE TORRIOC DISTRITO DE MARCAPOMACOCHA, PROVINCIA YAULI, DEPARTAMENTO JUNIN¿, CON CUI N°2663318",PE-CONSUCODE-1175,MUNICIPALIDAD DISTRITAL DE MARCAPOMACOCHA,2026-08-04T22:20:00-05:00,,Licitación Pública Abreviada,works,works,1760039.33,PEN,Soles,1760039.33,2026-08-04T00:00:00-05:00,2026-08-04T00:00:00-05:00,8,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,1760039.33,PEN,Soles,2026-08-05T00:01:00-05:00,2026-08-10T23:59:00-05:00,5,"RENOVACION DE PUENTE; EN EL(LA) VIA VECINAL JU-513 PUENTE TORRIOC  DISTRITO DE MARCAPOMACOCHA, PROVINCIA YAULI, DEPARTAMENTO JUNIN",2663318
ocds-dgv273-seacev3-1241640,ocds-dgv273-seacev3-1241640-2026-09-10T10:19:33.832111-05:00,compiled,2026-09-10T10:19:33.832097-05:00,ocds-dgv273-seacev3-1241640,2026-09-10T10:19:33.832116-05:00,tender,PE-CONSUCODE-200420,CORTE SUPERIOR DE JUSTICIA DE CUSCO,Fondos Públicos,1241640,LP-ABR-2-2026-CS-CSJCU-PJ-1,ADQUISICION DE UNIFORME INSTITUCIONAL 2025 PARA EL PERSONAL JURISDICCIONAL Y ADMINISTRATIVO DE LA CSJCU ITEM 3 (UNIFORME PARA CABALLEROS),PE-CONSUCODE-200420,CORTE SUPERIOR DE JUSTICIA DE CUSCO,2026-08-17T17:14:00-05:00,,Licitación Pública Abreviada,goods,goods,84189.92,PEN,Soles,84189.92,2026-08-17T00:00:00-05:00,2026-08-17T00:00:00-05:00,18,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-18T00:01:00-05:00,2026-08-20T23:59:00-05:00,2,,
ocds-dgv273-seacev3-1242493,ocds-dgv273-seacev3-1242493-2026-09-10T10:19:33.731725-05:00,compiled,2026-09-10T10:19:33.731699-05:00,ocds-dgv273-seacev3-1242493,2026-09-10T10:19:33.731730-05:00,tender,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,Fondos Públicos,1242493,INTER-PROC-11-2026-INS-1,ADQUISICIÓN DE CEPA HELICOBACTER PYLORY ATCC 43504,PE-CONSUCODE-1979,INSTITUTO NACIONAL DE SALUD,2026-08-19T19:29:00-05:00,open,Contratación Internacional,goods,goods,5725.6,PEN,Soles,5725.6,2026-08-19T00:00:00-05:00,2026-08-19T00:00:00-05:00,1,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,5725.6,PEN,Soles,,,,,
ocds-dgv273-seacev3-1246168,ocds-dgv273-seacev3-1246168-2026-09-10T10:19:33.484803-05:00,compiled,2026-09-10T10:19:33.484789-05:00,ocds-dgv273-seacev3-1246168,2026-09-10T10:19:33.484808-05:00,tender,PE-CONSUCODE-1673,MUNICIPALIDAD DISTRITAL DE SAN ANTON,Fondos Públicos,1246168,LP-ABR-5-2026-MDSA/C-1,CONTRATACION DE EJECUCIÓN DE OBRA DENOMINADO ¿MEJORAMIENTO DEL SERVICIO DE ACCESIBILIDAD A LA ADQUISICIÓN DE PRODUCTOS DE PRIMERA NECESIDAD EN MERCADO DE ABASTO DE SAN ANTON DEL DISTRITO DE SAN ANTON DE LA PROVINCIA DE AZANGARO DEL DEPARTAMENTO DE PUNO¿,PE-CONSUCODE-1673,MUNICIPALIDAD DISTRITAL DE SAN ANTON,2026-08-25T23:44:00-05:00,,Licitación Pública Abreviada,works,works,1234171.04,PEN,Soles,1234171.04,2026-08-25T00:00:00-05:00,2026-08-25T00:00:00-05:00,5,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-26T00:01:00-05:00,2026-08-28T23:59:00-05:00,2,,
ocds-dgv273-seacev3-1241696,ocds-dgv273-seacev3-1241696-2026-09-10T10:19:33.455811-05:00,compiled,2026-09-10T10:19:33.455798-05:00,ocds-dgv273-seacev3-1241696,2026-09-10T10:19:33.455816-05:00,tender,PE-CONSUCODE-200269,GOBIERNO REGIONAL DEL CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR,Fondos Públicos,1241696,CP-ABR-11-2026-RSSCS/OC-1,CONTRATACIÓN DE \nSERVICIO DE IMPRESIÓN EN GENERAL DE FORMATOS UNICOS DE ATENCION Y FORMATOS DE REFERENCIAS Y CONTRAREFERENCIAS PARA LA UNIDAD DE SEGUROS DE LA RED DE SERVICIOS DE SALUD CUSCO SURCO SUR,PE-CONSUCODE-200269,GOBIERNO REGIONAL DEL CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR,2026-08-14T19:09:00-05:00,,Concurso Público Abreviado,services,services,80000.0,PEN,Soles,80000.0,2026-08-14T00:00:00-05:00,2026-08-14T00:00:00-05:00,26,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-15T00:01:00-05:00,2026-08-19T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1240753,ocds-dgv273-seacev3-1240753-2026-09-10T10:19:33.401718-05:00,compiled,2026-09-10T10:19:33.401692-05:00,ocds-dgv273-seacev3-1240753,2026-09-10T10:19:33.401725-05:00,tender,PE-CONSUCODE-10231,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,Fondos Públicos,1240753,DIRECTA-DIRECTA-7-2026-MTC/21-1,"SERVICIO DE TRANSPORTE, MONTAJE E INSTALACIÓN DEL PUENTE MODULAR BAÑOS CHIMÚ ¿ CASCAS ¿ GRAN CHIMÚ ¿ LA LIBERTAD.",PE-CONSUCODE-10231,MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,2026-08-12T19:23:00-05:00,direct,Contratación Directa,services,services,920000.0,PEN,Soles,920000.0,,,3,False,2026-08,añoPublicacionProceso;mesPublicacionProceso,920000.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1241774,ocds-dgv273-seacev3-1241774-2026-09-10T10:19:33.110621-05:00,compiled,2026-09-10T10:19:33.110608-05:00,ocds-dgv273-seacev3-1241774,2026-09-10T10:19:33.110626-05:00,tender,PE-CONSUCODE-152,MUNICIPALIDAD DISTRITAL DE COCHABAMBA - HUARAZ,Fondos Públicos,1241774,LP-ABR-1-2026-MDC-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE OBRA DEL PROYECTO IOARR ""RENOVACIÓN DE PUENTE; EN EL(LA) GUTIERREZ EN EL CENTRO POBLADO COCHABAMBA, DISTRITO DE COCHABAMBA, PROVINCIA HUARAZ, DEPARTAMENTO ÁNCASH CON CUI N° 2677570""",PE-CONSUCODE-152,MUNICIPALIDAD DISTRITAL DE COCHABAMBA - HUARAZ,2026-08-17T20:09:00-05:00,,Licitación Pública Abreviada,works,works,1355815.23,PEN,Soles,1355815.23,2026-08-17T00:00:00-05:00,2026-08-17T00:00:00-05:00,5,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-18T00:01:00-05:00,2026-08-20T23:59:00-05:00,2,"RENOVACION DE PUENTE; EN EL(LA) GUTIERREZ EN EL CENTRO POBLADO COCHABAMBA, DISTRITO DE COCHABAMBA, PROVINCIA HUARAZ, DEPARTAMENTO ANCASH",2677570
ocds-dgv273-seacev3-1245753,ocds-dgv273-seacev3-1245753-2026-09-10T10:19:32.964760-05:00,compiled,2026-09-10T10:19:32.964743-05:00,ocds-dgv273-seacev3-1245753,2026-09-10T10:19:32.964765-05:00,tender,PE-CONSUCODE-34,GOBIERNO REGIONAL DE AREQUIPA Sede Central,Fondos Públicos,1245753,LP-ABR-28-2026-GRA-2,"ADQUISICION DE LADRILLO PASTELERO DEL PROYECTO:""MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS EN EL NIVEL SECUNDARIO DE LA INSTITUCION EDUCATIVA SEBASTIAN BARRANCA DEL DISTRITO DE CAMANA, PROVINCIA DE CAMANA, DEPARTAMENTO DE AREQUIPA"" - CUI 2489112",PE-CONSUCODE-34,GOBIERNO REGIONAL DE AREQUIPA Sede Central,2026-08-28T23:33:00-05:00,,Licitación Pública Abreviada,goods,goods,0.0,PEN,Soles,0.0,2026-08-28T00:00:00-05:00,2026-08-28T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-29T00:01:00-05:00,2026-09-02T23:59:00-05:00,4,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS EN EL NIVEL SECUNDARIA DE LA INSTITUCION EDUCATIVA SEBASTIAN BARRANCA, DEL DISTRITO DE CAMANA - PROVINCIA DE CAMANA - DEPARTAMENTO DE AREQUIPA",2489112
ocds-dgv273-seacev3-1245274,ocds-dgv273-seacev3-1245274-2026-09-10T10:19:32.730417-05:00,compiled,2026-09-10T10:19:32.730404-05:00,ocds-dgv273-seacev3-1245274,2026-09-10T10:19:32.730422-05:00,tender,PE-CONSUCODE-1240,MUNICIPALIDAD DISTRITAL DE PATAZ,Fondos Públicos,1245274,CP-ABR-6-2026-MDP/CS-1,"SUPERVISION DE LA EJECUCION DE LA OBRA ""MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE RURAL EN LA LOCALIDAD DE PATAZ, DISTRITO DE PATAZ, PROVINCIA DE PATAZ, DEPARTAMENTO DE LA LIBERTAD"" CON CUI 2718024",PE-CONSUCODE-1240,MUNICIPALIDAD DISTRITAL DE PATAZ,2026-08-27T17:41:00-05:00,,Concurso Público Abreviado,services,services,146335.19,PEN,Soles,146335.19,2026-08-27T00:00:00-05:00,2026-08-27T00:00:00-05:00,,True,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-28T00:01:00-05:00,2026-09-01T23:59:00-05:00,4,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE RURAL EN LA LOCALIDAD DE PATAZ,   DISTRITO DE PATAZ DE LA PROVINCIA DE PATAZ DEL DEPARTAMENTO DE LA LIBERTAD",2718024
ocds-dgv273-seacev3-2026-10246-37,ocds-dgv273-seacev3-2026-10246-37-2026-09-10T10:19:32.458347-05:00,compiled,2026-09-10T10:19:32.458334-05:00,ocds-dgv273-seacev3-2026-10246-37,2026-09-10T10:19:32.458352-05:00,tender,PE-CONSUCODE-10246,COMANDO CONJUNTO DE LAS FUERZAS ARMADAS,Fondos Públicos,1242714,CP-ABR-4-2026-MD-CCFFAA-1,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA LAS UNIDADES VEHICULARES ASIGNADAS AL CCFFAA,PE-CONSUCODE-10246,COMANDO CONJUNTO DE LAS FUERZAS ARMADAS,2026-08-19T15:06:00-05:00,,Concurso Público Abreviado,services,services,145000.0,PEN,Soles,145000.0,2026-08-19T00:00:00-05:00,2026-08-19T00:00:00-05:00,9,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-20T00:01:00-05:00,2026-08-24T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1243346,ocds-dgv273-seacev3-1243346-2026-09-10T10:19:32.417615-05:00,compiled,2026-09-10T10:19:32.417602-05:00,ocds-dgv273-seacev3-1243346,2026-09-10T10:19:32.417621-05:00,tender,PE-CONSUCODE-10351,GOBIERNO REGIONAL DE AREQUIPA - PROYECTO ESPECIAL MAJES-SIGUAS  AUTODEMA,Fondos Públicos,1243346,COMPRE-COMPRE-2-2026-GRA/AUTODEMA-1,ADQUISICIÓN DE PINTURA EPÓXICA RICA EN ZINC PARA LA FICHA DE MANTENIMIENTO DENOMINADA: MANTENIMIENTO DE LA PANTALLA METÁLICA DEL DIQUE DE BLOQUES DE LA REPRESA EL FRAYLE DEL SISTEMA REGULADO CHILI.,PE-CONSUCODE-10351,GOBIERNO REGIONAL DE AREQUIPA - PROYECTO ESPECIAL MAJES-SIGUAS  AUTODEMA,2026-08-20T23:24:00-05:00,open,Comparación de Precios,goods,goods,68089.88,PEN,Soles,68089.88,2026-08-20T00:00:00-05:00,2026-08-20T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,125177.88,PEN,Soles,,,,,
ocds-dgv273-seacev3-1245009,ocds-dgv273-seacev3-1245009-2026-09-10T10:19:32.219246-05:00,compiled,2026-09-10T10:19:32.219233-05:00,ocds-dgv273-seacev3-1245009,2026-09-10T10:19:32.219251-05:00,tender,PE-CONSUCODE-93,MUNICIPALIDAD DISTRITAL DE IMAZA,Fondos Públicos,1245009,CP-ABR-4-2026-MDI/OC-1,"CONTRATACIÓN DEL SERVICIO DENOMINADO: ""EJECUCIÓN DEL PLAN DE MANTENIMIENTO CORRECTIVO DEL SISTEMA DE AGUA POTABLE DE LA LOCALIDAD DE CHIRIACO, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS""",PE-CONSUCODE-93,MUNICIPALIDAD DISTRITAL DE IMAZA,2026-08-26T23:45:00-05:00,,Concurso Público Abreviado,services,services,472405.0,PEN,Soles,472405.0,2026-08-26T00:00:00-05:00,2026-08-26T00:00:00-05:00,5,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-27T00:01:00-05:00,2026-08-31T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1242373,ocds-dgv273-seacev3-1242373-2026-09-10T10:19:32.173690-05:00,compiled,2026-09-10T10:19:32.173678-05:00,ocds-dgv273-seacev3-1242373,2026-09-10T10:19:32.173696-05:00,tender,PE-CONSUCODE-1695,MUNICIPALIDAD PROVINCIAL DE HUANCANE,Fondos Públicos,1242373,SIE-SIE-12-2026-MPH/OC-1,"ADQUISICION DE AGREGADOS PARA LA EJECUCION DE OBRA ""CREACION DEL SERVICIO DE PRACTICA DEPORTIVA Y/O RECREATIVA EN LA PARCIALIDAD PIATA DEL C.P HUARISANI, DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE, DEPARTAMENTO DE PUNO""",PE-CONSUCODE-1695,MUNICIPALIDAD PROVINCIAL DE HUANCANE,2026-08-19T17:27:00-05:00,open,Subasta Inversa Electrónica,goods,goods,107100.0,PEN,Soles,107100.0,2026-08-19T00:00:00-05:00,2026-08-19T00:00:00-05:00,8,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA PARCIALIDAD PIATA DEL C.P. HUARISANI   DISTRITO DE HUANCANE DE LA PROVINCIA DE HUANCANE DEL DEPARTAMENTO DE PUNO,2599294
ocds-dgv273-seacev3-1238153,ocds-dgv273-seacev3-1238153-2026-09-10T10:19:32.040405-05:00,compiled,2026-09-10T10:19:32.040392-05:00,ocds-dgv273-seacev3-1238153,2026-09-10T10:19:32.040410-05:00,tender,PE-CONSUCODE-10564,GOBIERNO REGIONAL DE PUNO-PROGRAMA REGIONAL DE RIEGO Y DRENAJE,Fondos Públicos,1238153,LP-SM-2-2026-PRORRIDRE/DEC-1,"ADQUISICION DE TUBERIA CORRUGADA PARA LINEA DE CONDUCCION Y DRENAJE SEGÚN EE.TT., PARA LA OBRA: ""MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE PROVISION DE AGUA PARA RIEGO EN LA MICROCUENCA DEL RIO CONDORIRI, DISTRITO DE AZANGARO, PROVINCIA DE AZANGARO, DEPARTAMENTO DE PUNO"", CORRESPONDIENTE A LA META:",PE-CONSUCODE-10564,GOBIERNO REGIONAL DE PUNO-PROGRAMA REGIONAL DE RIEGO Y DRENAJE,2026-08-03T17:56:00-05:00,open,Licitación Pública,goods,goods,1072500.0,PEN,Soles,1072500.0,2026-08-03T00:00:00-05:00,2026-08-03T00:00:00-05:00,27,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-04T00:01:00-05:00,2026-08-14T23:59:00-05:00,10,,
ocds-dgv273-seacev3-1243982,ocds-dgv273-seacev3-1243982-2026-09-10T10:19:31.981931-05:00,compiled,2026-09-10T10:19:31.981919-05:00,ocds-dgv273-seacev3-1243982,2026-09-10T10:19:31.981937-05:00,tender,PE-CONSUCODE-747,MUNICIPALIDAD DISTRITAL DE VENTANILLA,Fondos Públicos,1243982,COMPRE-COMPRE-2-2026-JEL-MDV-SSM-1,ADQUISICION DE SUPLEMENTOS MULTIVITAMINICOS PARA LAS CHARLAS DE SALUD PARA PADRES Y ESTUDIANTES PARA LA GERENCIA DE SERVICIOS DE SALUD OD SSM,PE-CONSUCODE-747,MUNICIPALIDAD DISTRITAL DE VENTANILLA,2026-08-25T12:51:00-05:00,open,Comparación de Precios,goods,goods,96500.0,PEN,Soles,96500.0,2026-08-25T00:00:00-05:00,2026-08-25T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,96500.0,PEN,Soles,,,,,
ocds-dgv273-seacev3-1241652,ocds-dgv273-seacev3-1241652-2026-09-10T10:19:31.920703-05:00,compiled,2026-09-10T10:19:31.920690-05:00,ocds-dgv273-seacev3-1241652,2026-09-10T10:19:31.920725-05:00,tender,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,Fondos Públicos,1241652,SIE-SIE-6-2026-INSN-SB-1,ADQUISICION DE INMUNOGLOBULINA HUMANA NORMAL 5 g/100 mL 100 mL INYECTABLE,PE-CONSUCODE-200551,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,2026-08-14T19:40:00-05:00,open,Subasta Inversa Electrónica,goods,goods,1540152.0,PEN,Soles,1540152.0,2026-08-14T00:00:00-05:00,2026-08-14T00:00:00-05:00,6,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,,
ocds-dgv273-seacev3-1241623,ocds-dgv273-seacev3-1241623-2026-09-10T10:19:31.907845-05:00,compiled,2026-09-10T10:19:31.907832-05:00,ocds-dgv273-seacev3-1241623,2026-09-10T10:19:31.907851-05:00,tender,PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,Fondos Públicos,1241623,LP-ABR-218-2026-MDSM/CS-1,"ADQUISICIÓN DE EQUIPOS  PARA EL PLAN DE NEGOCIO DENOMINADO: ¿MEJORAMIENTO DE LA CALIDAD Y SERVICIO GASTRONOMICO DE LA EMPRESA TINGO CJ S.A.C. EN EL DISTRITO DE SAN MARCOS, PROVINCIA DE HUARI, REGION ANCASH¿, CON CU N° 2720428.",PE-CONSUCODE-224,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,2026-08-14T16:42:00-05:00,,Licitación Pública Abreviada,goods,goods,68200.0,PEN,Soles,68200.0,2026-08-14T00:00:00-05:00,2026-08-14T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-08-15T00:01:00-05:00,2026-08-19T23:59:00-05:00,4,,
ocds-dgv273-seacev3-1241205,ocds-dgv273-seacev3-1241205-2026-09-10T10:19:31.806435-05:00,compiled,2026-09-10T10:19:31.806422-05:00,ocds-dgv273-seacev3-1241205,2026-09-10T10:19:31.806441-05:00,tender,PE-CONSUCODE-10449,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,Fondos Públicos,1241205,COMPRE-COMPRE-45-2026-GRTCC-1,"ADQUISCION DE BIENES PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA CU-145 EN EL TRAMO: TRAYECTORIA EMP. PE-28 F (CHINCHERO) - PIURAY -QUISPIHUARA SENCCA, R81356 EN EL TRAMO: EMP, CU-145-EMP. PE-28 F DISTRITOS DE CUSCO, CHINCHERO DE LAS PROVINCIAS DE CUSCO, URUB",PE-CONSUCODE-10449,GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,2026-08-13T16:26:00-05:00,open,Comparación de Precios,goods,goods,68385.0,PEN,Soles,68385.0,2026-08-13T00:00:00-05:00,2026-08-13T00:00:00-05:00,3,False,2026-08,añoInicioConvocatoria;mesInicioConvocatoria,68385.0,PEN,Soles,,,,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN LA CU ¿ 145 EN EL TRAMO: TRAYECTORIA EMP. PE-28 F (CHINCHERO) ¿ PIURAY ¿ QUISPIHUARA - SENCCA , R81356 EN EL TRAMO: EMP. CU ¿ 145 ¿ EMP. PE-28 F   DISTRITOS DE CUSCO, CHINCHERO DE LAS PROVINCIAS DE CUSCO, URUBAMBA DEL DEPARTAMENTO DE CUSCO",2636607
